address,postcode,price,bedrooms,bathrooms,area_in_sqft,link
"2604A W  Peninsula Dr, Baltimore, MD 21230",21230,471170,3,3,1603,https://www.trulia.com/home/2604A-W-Peninsula-Dr-Baltimore-MD-21230-439963057
"2610A W  Peninsula Dr, Baltimore, MD 21230",21230,541571,3,3,1603,https://www.trulia.com/home/2610A-W-Peninsula-Dr-Baltimore-MD-21230-2052978135
"2602A W  Peninsula Dr, Baltimore, MD 21230",21230,515102,3,3,1603,https://www.trulia.com/home/2602A-W-Peninsula-Dr-Baltimore-MD-21230-439963037
"2600A W  Peninsula Dr, Baltimore, MD 21230",21230,559121,3,3,1603,https://www.trulia.com/home/2600A-W-Peninsula-Dr-Baltimore-MD-21230-439963039
"2608A W  Peninsula Dr, Baltimore, MD 21230",21230,493476,3,3,1603,https://www.trulia.com/home/2608A-W-Peninsula-Dr-Baltimore-MD-21230-2054525607
"7200 Park Dr, Baltimore, MD 21234",21234,299900,3,2,1534,https://www.trulia.com/home/7200-park-dr-baltimore-md-21234-36401587
"1805 Fleet St, Baltimore, MD 21231",21231,319000,2,2,1198,https://www.trulia.com/home/1805-fleet-st-baltimore-md-21231-36436216
"221 N  Lakewood Ave, Baltimore, MD 21224",21224,220000,3,1,1650,https://www.trulia.com/home/221-n-lakewood-ave-baltimore-md-21224-36438312
"3341 Lyndale Ave, Baltimore, MD 21213",21213,199900,3,2,1644,https://www.trulia.com/home/3341-lyndale-ave-baltimore-md-21213-36457143
"1329 Gorsuch Ave, Baltimore, MD 21218",21218,60000,3,1,NaN,https://www.trulia.com/home/1329-gorsuch-ave-baltimore-md-21218-36462723
"2620 Miles Ave, Baltimore, MD 21211",21211,175000,1,1,672,https://www.trulia.com/home/2620-miles-ave-baltimore-md-21211-36472713
"312 E  22nd St, Baltimore, MD 21218",21218,199000,5,3,NaN,https://www.trulia.com/home/312-e-22nd-st-baltimore-md-21218-36474348
"3405 Greenway #1, Baltimore, MD 21218",21218,270000,2,2,1143,https://www.trulia.com/home/3405-greenway-1-baltimore-md-21218-36477443
"825 W  35th St, Baltimore, MD 21211",21211,250000,3,2,1294,https://www.trulia.com/home/825-w-35th-st-baltimore-md-21211-36484874
"1416 W  Mount Royal Ave, Baltimore, MD 21217",21217,499000,6,3,3579,https://www.trulia.com/home/1416-w-mount-royal-ave-baltimore-md-21217-36486357
"2115 Walbrook Ave, Baltimore, MD 21217",21217,40000,3,1,NaN,https://www.trulia.com/home/2115-walbrook-ave-baltimore-md-21217-36494820
"3727 Boarman Ave, Baltimore, MD 21215",21215,310000,3,2,1572,https://www.trulia.com/home/3727-boarman-ave-baltimore-md-21215-36496490
"4015 Hilton Rd, Baltimore, MD 21215",21215,195900,4,NaN,1452,https://www.trulia.com/home/4015-hilton-rd-baltimore-md-21215-36498208
"2535 Shirley Ave, Baltimore, MD 21215",21215,265000,3,3,2150,https://www.trulia.com/home/2535-shirley-ave-baltimore-md-21215-36503068
"2924 Winchester St, Baltimore, MD 21216",21216,70000,3,2,1488,https://www.trulia.com/home/2924-winchester-st-baltimore-md-21216-36512756
